Antoni
Andrzej
Bolesław
Bogdan
Cezary
Damian
Dawid
Dariusz
Eryk
Eugeniusz
Franciszek
Fryderyk
Filip
Grzegorz
Henryk
Hieronim
Ignacy
Jakub
Jan
Jerzy
Józef
Kamil
Krzysztof
Łukasz
Marcin
Mariusz
Marek
Michał
Nikodem
Norbert
Olgierd
Piotr
Paweł
Przemysław
Robert
Ryszard
Radosław
Stanisław
Szymon
Tadeusz
Wacław
Wiesław
Wiktor
Zenon
Zdzisław
