Anna
Aniela
Aleksandra
Bernadetta
Barbara
Cecylia
Daria
Diana
Ewelina
Ewa
Franciszka
Gertruda
Halina
Hanna
Izabela
Joanna
Justyna
Karolina
Krystyna
Małgorzata
Maria
Monika
Magdalena
Natalia
Olga
Patrycja
Paulina
Renata
Stanisława
Teresa
Urszula
